231209 101246.156|CONFIG|qtp135640095-20986|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
231209 101246.156|INFO|qtp135640095-20986|info|
231209 101246.156|INFO|qtp135640095-20986|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
231209 101246.156|INFO|qtp135640095-20986|info|Login: admin53 (aka root)
231209 101246.156|INFO|qtp135640095-20986|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
231209 101246.156|INFO|qtp135640095-20986|startLog|Process id is 15028@DESKTOP-D75BQTV
231209 101246.156|INFO|qtp135640095-20986|info|Contacting server at localhost:50002 as ADMINISTRATOR0 @ site 0
231209 101246.156|INFO|qtp135640095-20986|info|sendLoginRequest start - sending from ADMINISTRATOR0 @ site 0
231209 101246.156|INFO|qtp135640095-20986|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #478 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
231209 101246.156|INFO|qtp135640095-20986|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #478 ADMINISTRATOR0 @ site 0 -> SERVER0 @ site 0
231209 101246.156|INFO|qtp135640095-20986|info|sendLoginRequest end - packet sent.
231209 101246.156|INFO|Thread-44680|run|send(Serializable)
231209 101246.164|INFO|Thread-44679|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
231209 101246.164|INFO|Thread-44681|info| receiveObject(S) start got Packet[LOGIN_FAILED] #2669 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
231209 101246.164|INFO|Thread-44681|dumpPacket|Packet LOGIN_FAILED (Seq #2669, o#2669 ) recieveObject
231209 101246.164|INFO|Thread-44681|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 101246.164|INFO|Thread-44681|dumpPacket|    To: ADMINISTRATOR0 @ site 0
231209 101246.164|INFO|Thread-44681|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
231209 101246.164|INFO|Thread-44681|info|handlePacket start Packet[LOGIN_FAILED] #2669 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
231209 101246.164|INFO|Thread-44681|dumpPacket|Packet LOGIN_FAILED (Seq #2669, o#2669 ) handlePacket
231209 101246.164|INFO|Thread-44681|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 101246.164|INFO|Thread-44681|dumpPacket|    To: ADMINISTRATOR0 @ site 0
231209 101246.164|INFO|Thread-44681|dumpPacket|   key: MESSAGE_STRING is: java.lang.String No such account
231209 101246.164|INFO|Thread-44681|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #2669 SERVER0 @ site 1 -> ADMINISTRATOR0 @ site 0
231209 125144.096|INFO|Thread-44679|connectionDropped|connectionDropped(ConnectionHandlerID myConnectionID) 
