221210 081300.593|CONFIG|qtp996796369-1391|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 081300.593|INFO|qtp996796369-1391|info|
221210 081300.594|INFO|qtp996796369-1391|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 081300.594|INFO|qtp996796369-1391|info|Login: judge3 (aka judge3)
221210 081300.594|INFO|qtp996796369-1391|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 081300.594|INFO|qtp996796369-1391|startLog|Process id is 20708@DESKTOP-D75BQTV
221210 081300.594|INFO|Thread-2106|getPublicKeyPacket|packet:= edu.csus.ecs.pc2.core.transport.TransportWrapper@77e0f1d2
221210 081300.594|INFO|qtp996796369-1391|info|Contacting server at 212.212.212.212:50002 as JUDGE3 @ site 0
221210 081300.594|INFO|qtp996796369-1391|info|sendLoginRequest start - sending from JUDGE3 @ site 0
221210 081300.594|INFO|qtp996796369-1391|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #109 JUDGE3 @ site 0 -> SERVER0 @ site 0
221210 081300.594|INFO|qtp996796369-1391|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #109 JUDGE3 @ site 0 -> SERVER0 @ site 0
221210 081300.595|INFO|qtp996796369-1391|info|sendLoginRequest end - packet sent.
221210 081300.595|INFO|Thread-2107|run|send(Serializable)
221210 081300.597|INFO|Thread-2106|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
221210 081300.598|INFO|Thread-2108|info| receiveObject(S) start got Packet[LOGIN] #766 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|dumpPacket|Packet LOGIN (Seq #766, o#766 ) recieveObject
221210 081300.598|INFO|Thread-2108|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 081300.598|INFO|Thread-2108|dumpPacket|    To: SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=65090,localport=50002]--7957928932851661854
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE3 @ site 1
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@2c4d8e87
221210 081300.598|INFO|Thread-2108|info|handlePacket start Packet[LOGIN] #766 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|dumpPacket|Packet LOGIN (Seq #766, o#766 ) handlePacket
221210 081300.598|INFO|Thread-2108|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 081300.598|INFO|Thread-2108|dumpPacket|    To: SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=65090,localport=50002]--7957928932851661854
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE3 @ site 1
221210 081300.598|INFO|Thread-2108|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@2c4d8e87
221210 081300.598|INFO|Thread-2108|info|Note: got a LOGIN packet before this site was logged in Packet[LOGIN] #766 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|info|handlePacket end Packet[LOGIN] #766 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 081300.598|INFO|Thread-2108|info| receiveObject(S) end   got Packet[LOGIN] #766 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 081300.600|INFO|Thread-2106|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
221210 081300.606|INFO|Thread-2109|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #765 SERVER0 @ site 1 -> JUDGE3 @ site 1
221210 081300.606|INFO|Thread-2109|dumpPacket|Packet LOGIN_SUCCESS (Seq #765, o#765 ) recieveObject
