221210 080250.323|CONFIG|Thread-1510|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
221210 080250.323|INFO|Thread-1510|info|
221210 080250.323|INFO|Thread-1510|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221210 080250.323|INFO|Thread-1510|info|Login: judge5 (aka judge5)
221210 080250.323|INFO|Thread-1510|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
221210 080250.324|INFO|Thread-1510|startLog|Process id is 20708@DESKTOP-D75BQTV
221210 080250.324|INFO|Thread-1510|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
221210 080250.324|INFO|Thread-1510|info|handlePacket end Packet[LOGIN_SUCCESS] #618 SERVER0 @ site 1 -> JUDGE5 @ site 1
221210 080250.324|INFO|Thread-1510|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #618 SERVER0 @ site 1 -> JUDGE5 @ site 1
221210 080251.482|INFO|Thread-1513|info| receiveObject(S) start got Packet[LOGIN] #622 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080251.482|INFO|Thread-1513|dumpPacket|Packet LOGIN (Seq #622, o#622 ) recieveObject
221210 080251.482|INFO|Thread-1513|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080251.482|INFO|Thread-1513|dumpPacket|    To: SERVER0 @ site 0
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=64570,localport=50002]-5885757407993774753
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM59 @ site 1
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@282003f5
221210 080251.482|INFO|Thread-1513|info|handlePacket start Packet[LOGIN] #622 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080251.482|INFO|Thread-1513|dumpPacket|Packet LOGIN (Seq #622, o#622 ) handlePacket
221210 080251.482|INFO|Thread-1513|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080251.482|INFO|Thread-1513|dumpPacket|    To: SERVER0 @ site 0
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=64570,localport=50002]-5885757407993774753
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM59 @ site 1
221210 080251.482|INFO|Thread-1513|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@282003f5
221210 080251.482|INFO|Thread-1513|info|handlePacket end Packet[LOGIN] #622 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080251.482|INFO|Thread-1513|info| receiveObject(S) end   got Packet[LOGIN] #622 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080251.852|INFO|Thread-1517|info| receiveObject(S) start got Packet[RUN_CHECKOUT_NOTIFICATION] #624 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|Packet RUN_CHECKOUT_NOTIFICATION (Seq #624, o#624 ) recieveObject
221210 080251.853|INFO|Thread-1517|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080251.853|INFO|Thread-1517|dumpPacket|    To: ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 5 BEING_JUDGED 14 min 887386ms from TEAM38 @ site 1 id Run--3511861185088185914 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080251.853|INFO|Thread-1517|info|handlePacket start Packet[RUN_CHECKOUT_NOTIFICATION] #624 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|Packet RUN_CHECKOUT_NOTIFICATION (Seq #624, o#624 ) handlePacket
221210 080251.853|INFO|Thread-1517|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080251.853|INFO|Thread-1517|dumpPacket|    To: ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 5 BEING_JUDGED 14 min 887386ms from TEAM38 @ site 1 id Run--3511861185088185914 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080251.853|INFO|Thread-1517|info|handlePacket end Packet[RUN_CHECKOUT_NOTIFICATION] #624 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
221210 080251.853|INFO|Thread-1517|info| receiveObject(S) end   got Packet[RUN_CHECKOUT_NOTIFICATION] #624 SERVER0 @ site 1 -> ADMINISTRATOR1 @ site 1
221210 080258.990|INFO|Thread-1519|info| receiveObject(S) start got Packet[LOGIN] #629 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080258.990|INFO|Thread-1519|dumpPacket|Packet LOGIN (Seq #629, o#629 ) recieveObject
221210 080258.990|INFO|Thread-1519|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080258.990|INFO|Thread-1519|dumpPacket|    To: SERVER0 @ site 0
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.56,port=49388,localport=50002]-3625136528835747859
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE3 @ site 1
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@6a6d1663
221210 080258.990|INFO|Thread-1519|info|handlePacket start Packet[LOGIN] #629 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080258.990|INFO|Thread-1519|dumpPacket|Packet LOGIN (Seq #629, o#629 ) handlePacket
221210 080258.990|INFO|Thread-1519|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080258.990|INFO|Thread-1519|dumpPacket|    To: SERVER0 @ site 0
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.56,port=49388,localport=50002]-3625136528835747859
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE3 @ site 1
221210 080258.990|INFO|Thread-1519|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@6a6d1663
221210 080258.990|INFO|Thread-1519|info|handlePacket end Packet[LOGIN] #629 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080258.990|INFO|Thread-1519|info| receiveObject(S) end   got Packet[LOGIN] #629 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080259.245|INFO|Thread-1521|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #630 SERVER0 @ site 1 -> TEAM77 @ site 1
221210 080259.245|INFO|Thread-1521|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #630, o#630 ) recieveObject
221210 080259.245|INFO|Thread-1521|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080259.245|INFO|Thread-1521|dumpPacket|    To: TEAM77 @ site 1
221210 080259.245|INFO|Thread-1521|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 NEW 15 min 934698ms from TEAM77 @ site 1 id Run-5886076894406910424 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080259.245|INFO|Thread-1521|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #630 SERVER0 @ site 1 -> TEAM77 @ site 1
221210 080259.245|INFO|Thread-1521|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #630, o#630 ) handlePacket
221210 080259.245|INFO|Thread-1521|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080259.245|INFO|Thread-1521|dumpPacket|    To: TEAM77 @ site 1
221210 080259.245|INFO|Thread-1521|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 NEW 15 min 934698ms from TEAM77 @ site 1 id Run-5886076894406910424 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080259.245|INFO|Thread-1521|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #630 SERVER0 @ site 1 -> TEAM77 @ site 1
221210 080259.818|INFO|Thread-1559|info| receiveObject(S) start got Packet[LOGIN] #634 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080259.818|INFO|Thread-1559|dumpPacket|Packet LOGIN (Seq #634, o#634 ) recieveObject
221210 080259.818|INFO|Thread-1559|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080259.818|INFO|Thread-1559|dumpPacket|    To: SERVER0 @ site 0
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=64576,localport=50002]--2263247443532474135
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM70 @ site 1
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@1cd04eb3
221210 080259.818|INFO|Thread-1559|info|handlePacket start Packet[LOGIN] #634 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080259.818|INFO|Thread-1559|dumpPacket|Packet LOGIN (Seq #634, o#634 ) handlePacket
221210 080259.818|INFO|Thread-1559|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080259.818|INFO|Thread-1559|dumpPacket|    To: SERVER0 @ site 0
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/212.212.212.212,port=64576,localport=50002]--2263247443532474135
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM70 @ site 1
221210 080259.818|INFO|Thread-1559|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@1cd04eb3
221210 080259.818|INFO|Thread-1559|info|handlePacket end Packet[LOGIN] #634 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080259.818|INFO|Thread-1559|info| receiveObject(S) end   got Packet[LOGIN] #634 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080303.350|INFO|Thread-1561|info| receiveObject(S) start got Packet[RUN_CHECKOUT_NOTIFICATION] #636 SERVER0 @ site 1 -> JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|Packet RUN_CHECKOUT_NOTIFICATION (Seq #636, o#636 ) recieveObject
221210 080303.350|INFO|Thread-1561|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080303.350|INFO|Thread-1561|dumpPacket|    To: JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 BEING_JUDGED 15 min 934698ms from TEAM77 @ site 1 id Run-5886076894406910424 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080303.350|INFO|Thread-1561|info|handlePacket start Packet[RUN_CHECKOUT_NOTIFICATION] #636 SERVER0 @ site 1 -> JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|Packet RUN_CHECKOUT_NOTIFICATION (Seq #636, o#636 ) handlePacket
221210 080303.350|INFO|Thread-1561|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080303.350|INFO|Thread-1561|dumpPacket|    To: JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE2 @ site 1
221210 080303.350|INFO|Thread-1561|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6 BEING_JUDGED 15 min 934698ms from TEAM77 @ site 1 id Run-5886076894406910424 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080303.351|INFO|Thread-1561|info|handlePacket end Packet[RUN_CHECKOUT_NOTIFICATION] #636 SERVER0 @ site 1 -> JUDGE2 @ site 1
221210 080303.351|INFO|Thread-1561|info| receiveObject(S) end   got Packet[RUN_CHECKOUT_NOTIFICATION] #636 SERVER0 @ site 1 -> JUDGE2 @ site 1
221210 080305.869|INFO|Thread-1563|info| receiveObject(S) start got Packet[RUN_JUDGEMENT_UPDATE] #638 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080305.869|INFO|Thread-1563|dumpPacket|Packet RUN_JUDGEMENT_UPDATE (Seq #638, o#638 ) recieveObject
221210 080305.869|INFO|Thread-1563|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080305.869|INFO|Thread-1563|dumpPacket|    To: SERVER0 @ site 0
221210 080305.869|INFO|Thread-1563|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE10 @ site 1
221210 080305.869|INFO|Thread-1563|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 JUDGED 14 min 869895ms from TEAM65 @ site 1 id Run--3603249286701547077 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080305.869|INFO|Thread-1563|info|handlePacket start Packet[RUN_JUDGEMENT_UPDATE] #638 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080305.869|INFO|Thread-1563|dumpPacket|Packet RUN_JUDGEMENT_UPDATE (Seq #638, o#638 ) handlePacket
221210 080305.869|INFO|Thread-1563|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--5544400451244233091)
221210 080305.869|INFO|Thread-1563|dumpPacket|    To: SERVER0 @ site 0
221210 080305.869|INFO|Thread-1563|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE10 @ site 1
221210 080305.869|INFO|Thread-1563|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 4 JUDGED 14 min 869895ms from TEAM65 @ site 1 id Run--3603249286701547077 problem dryrun--3838966659325508604 lang Java-9059947720623527775
221210 080305.869|INFO|Thread-1563|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT_UPDATE] #638 SERVER0 @ site 1 -> SERVER0 @ site 0
221210 080306.274|INFO|Thread-1598|info| receiveObject(S) start got Packet[RUN_JUDGEMENT_UPDATE] #640 SERVER0 @ site 1 -> SERVER0 @ site 0
