231209 094923.713|CONFIG|Thread-28759|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
231209 094923.713|INFO|Thread-28759|info|
231209 094923.713|INFO|Thread-28759|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
231209 094923.713|INFO|Thread-28759|info|Login: team34 (aka team34)
231209 094923.713|INFO|Thread-28759|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
231209 094923.713|INFO|Thread-28759|startLog|Process id is 15028@DESKTOP-D75BQTV
231209 094923.713|INFO|Thread-28759|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
231209 094923.713|INFO|Thread-28759|info|handlePacket end Packet[LOGIN_SUCCESS] #2109 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 094923.713|INFO|Thread-28759|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #2109 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095740.841|INFO|qtp135640095-32379|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #427 TEAM34 @ site 1 -> SERVER0 @ site 1
231209 095740.841|INFO|qtp135640095-32379|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #427 TEAM34 @ site 1 -> SERVER0 @ site 1
231209 095740.930|INFO|Thread-34975|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2364 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095740.930|INFO|Thread-34975|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2364, o#2364 ) recieveObject
231209 095740.930|INFO|Thread-34975|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 095740.930|INFO|Thread-34975|dumpPacket|    To: TEAM34 @ site 1
231209 095740.930|INFO|Thread-34975|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 150 NEW 136 min 8202449ms from TEAM34 @ site 1 id Run--6201989582104229904 problem DryRun--5056188413862619659 lang Java--8800253324652192008
231209 095740.930|INFO|Thread-34975|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2364 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095740.930|INFO|Thread-34975|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2364, o#2364 ) handlePacket
231209 095740.930|INFO|Thread-34975|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 095740.930|INFO|Thread-34975|dumpPacket|    To: TEAM34 @ site 1
231209 095740.930|INFO|Thread-34975|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 150 NEW 136 min 8202449ms from TEAM34 @ site 1 id Run--6201989582104229904 problem DryRun--5056188413862619659 lang Java--8800253324652192008
231209 095740.930|INFO|Thread-34975|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2364 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095828.176|INFO|Thread-35421|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2384 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095828.176|INFO|Thread-35421|dumpPacket|Packet RUN_JUDGEMENT (Seq #2384, o#2384 ) recieveObject
231209 095828.176|INFO|Thread-35421|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 095828.176|INFO|Thread-35421|dumpPacket|    To: TEAM34 @ site 1
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-2915828768858405923 id JudgementRecord--7650046946870902125
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 150 JUDGED 136 min 8202449ms from TEAM34 @ site 1 id Run--6201989582104229904 problem DryRun--5056188413862619659 lang Java--8800253324652192008
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
231209 095828.176|INFO|Thread-35421|info|handlePacket start Packet[RUN_JUDGEMENT] #2384 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 095828.176|INFO|Thread-35421|dumpPacket|Packet RUN_JUDGEMENT (Seq #2384, o#2384 ) handlePacket
231209 095828.176|INFO|Thread-35421|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 095828.176|INFO|Thread-35421|dumpPacket|    To: TEAM34 @ site 1
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-2915828768858405923 id JudgementRecord--7650046946870902125
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 150 JUDGED 136 min 8202449ms from TEAM34 @ site 1 id Run--6201989582104229904 problem DryRun--5056188413862619659 lang Java--8800253324652192008
231209 095828.176|INFO|Thread-35421|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
231209 095828.176|INFO|Thread-35421|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2384 SERVER0 @ site 1 -> TEAM34 @ site 1
231209 103352.688|INFO|Thread-46400|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #2861 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103352.688|INFO|Thread-46400|dumpPacket|Packet CLOCK_STOPPED (Seq #2861, o#2861 ) recieveObject
231209 103352.688|INFO|Thread-46400|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 103352.688|INFO|Thread-46400|dumpPacket|    To: SERVER0 @ site 0
231209 103352.688|INFO|Thread-46400|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 103352.688|INFO|Thread-46400|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
231209 103352.688|INFO|Thread-46400|info|handlePacket start Packet[CLOCK_STOPPED] #2861 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103352.688|INFO|Thread-46400|dumpPacket|Packet CLOCK_STOPPED (Seq #2861, o#2861 ) handlePacket
231209 103352.688|INFO|Thread-46400|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 103352.688|INFO|Thread-46400|dumpPacket|    To: SERVER0 @ site 0
231209 103352.688|INFO|Thread-46400|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 103352.688|INFO|Thread-46400|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
231209 103352.688|INFO|Thread-46400|info|Clock for site 1 stopped by ADMINISTRATOR1 @ site 1 elapsed 2:52:54
231209 103352.688|INFO|Thread-46400|info| receiveObject(S) end   got Packet[CLOCK_STOPPED] #2861 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103353.801|INFO|Thread-46768|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #2862 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103353.801|INFO|Thread-46768|dumpPacket|Packet CLOCK_STOPPED (Seq #2862, o#2862 ) recieveObject
231209 103353.801|INFO|Thread-46768|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 103353.801|INFO|Thread-46768|dumpPacket|    To: SERVER0 @ site 0
231209 103353.801|INFO|Thread-46768|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 103353.801|INFO|Thread-46768|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
231209 103353.801|INFO|Thread-46768|info|handlePacket start Packet[CLOCK_STOPPED] #2862 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103353.801|INFO|Thread-46768|dumpPacket|Packet CLOCK_STOPPED (Seq #2862, o#2862 ) handlePacket
231209 103353.801|INFO|Thread-46768|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 103353.801|INFO|Thread-46768|dumpPacket|    To: SERVER0 @ site 0
231209 103353.801|INFO|Thread-46768|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 103353.801|INFO|Thread-46768|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
231209 103353.801|INFO|Thread-46768|info|Clock for site 1 stopped by ADMINISTRATOR1 @ site 1 elapsed 2:52:54
231209 103353.801|INFO|Thread-46768|info| receiveObject(S) end   got Packet[CLOCK_STOPPED] #2862 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103356.424|INFO|Thread-47128|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #2863 SERVER0 @ site 1 -> SERVER0 @ site 0
231209 103356.427|INFO|Thread-47128|dumpPacket|Packet CLOCK_STOPPED (Seq #2863, o#2863 ) recieveObject
231209 103356.427|INFO|Thread-47128|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
