231209 094155.662|CONFIG|qtp135640095-5838|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
231209 094155.662|INFO|qtp135640095-5838|info|
231209 094155.662|INFO|qtp135640095-5838|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
231209 094155.662|INFO|qtp135640095-5838|info|Login: team94 (aka team94)
231209 094155.668|INFO|qtp135640095-5838|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
231209 094155.668|INFO|qtp135640095-5838|startLog|Process id is 15028@DESKTOP-D75BQTV
231209 094155.668|INFO|qtp135640095-5838|info|Contacting server at localhost:50002 as TEAM94 @ site 0
231209 094155.668|INFO|qtp135640095-5838|info|sendLoginRequest start - sending from TEAM94 @ site 0
231209 094155.668|INFO|qtp135640095-5838|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #329 TEAM94 @ site 0 -> SERVER0 @ site 0
231209 094155.668|INFO|qtp135640095-5838|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #329 TEAM94 @ site 0 -> SERVER0 @ site 0
231209 094155.668|INFO|qtp135640095-5838|info|sendLoginRequest end - packet sent.
231209 094155.668|INFO|Thread-22604|run|send(Serializable)
231209 094155.685|INFO|Thread-22603|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
231209 094155.685|INFO|Thread-22605|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #1815 SERVER0 @ site 1 -> TEAM94 @ site 1
231209 094155.685|INFO|Thread-22605|dumpPacket|Packet LOGIN_SUCCESS (Seq #1815, o#1815 ) recieveObject
231209 094155.685|INFO|Thread-22605|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-D75BQTV @ 212.212.212.212) (Contest Id: DryRun--6069080675419338087)
231209 094155.685|INFO|Thread-22605|dumpPacket|    To: TEAM94 @ site 1
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@296d1dc3
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@27aaf69e
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@239576b3
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@6697fca5
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@27d576b1
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@57bb7ad3
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@5f13ae79
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@6b803ea
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@ad48d72
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile DryRun--6069080675419338087
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId TEAM94 @ site 1
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@6b51319
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@441705d0
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@2f6f9eb
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@2c675bda
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@264a894
231209 094155.685|INFO|Thread-22605|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@7ea1148d
