221201 160822.992|CONFIG|qtp1881561036-24|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2-test\WebTeamInterface-1.1\logs directory.
221201 160822.998|INFO|qtp1881561036-24|info|
221201 160823.003|INFO|qtp1881561036-24|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
221201 160823.005|INFO|qtp1881561036-24|startLog|Working directory is C:\Users\18328\Desktop\pc2-test\WebTeamInterface-1.1
221201 160823.005|INFO|qtp1881561036-24|startLog|Process id is 15660@DESKTOP-D75BQTV
221201 160823.006|INFO|qtp1881561036-24|start|Starting ConnectionManager...
221201 160823.018|INFO|qtp1881561036-24|start|Started ConnectionManager
221201 160823.021|INFO|qtp1881561036-24|setClientServerAndPort|INIFile File location: file:/C:/Users/18328/Desktop/pc2-test/WebTeamInterface-1.1/pc2v9.ini
221201 160823.022|INFO|qtp1881561036-24|setClientServerAndPort|setClientServerAndPort 212.212.212.212 parsed as 212.212.212.212 port 50002
221201 160823.023|INFO|qtp1881561036-24|info|Contacting server at 212.212.212.212:50002
221201 160823.024|INFO|qtp1881561036-24|connectToMyServer|Connecting to 212.212.212.212:50002
