230920 090056.179|CONFIG|main|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
230920 090056.179|INFO|main|info|
230920 090056.179|INFO|main|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
230920 090056.179|INFO|main|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
230920 090056.210|INFO|main|startLog|Process id is 2552@DESKTOP-D75BQTV
230920 090056.210|INFO|main|start|Starting ConnectionManager...
230920 090056.288|INFO|main|start|Started ConnectionManager
230920 090056.288|INFO|main|setClientServerAndPort|INIFile File location: file:/C:/Users/18328/Desktop/pc2/WebTeamInterface-1.1/pc2v9.ini
230920 090056.288|INFO|main|setClientServerAndPort|setClientServerAndPort 212.212.212.212 parsed as 212.212.212.212 port 50002
230920 090056.288|INFO|main|info|Contacting server at 212.212.212.212:50002
230920 090056.288|INFO|main|connectToMyServer|Connecting to 212.212.212.212:50002
