230921 081337.425|CONFIG|qtp135640095-25|setFileHandlers|Now logging to C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1\logs directory.
230921 081337.427|INFO|qtp135640095-25|info|
230921 081337.429|INFO|qtp135640095-25|info|Version 9 () Java ver 18.0.2.1 build  Windows 11 10.0 (amd64) 
230921 081337.429|INFO|qtp135640095-25|startLog|Working directory is C:\Users\18328\Desktop\pc2\WebTeamInterface-1.1
230921 081337.430|INFO|qtp135640095-25|startLog|Process id is 15300@DESKTOP-D75BQTV
230921 081337.431|INFO|qtp135640095-25|start|Starting ConnectionManager...
230921 081337.439|INFO|qtp135640095-25|start|Started ConnectionManager
230921 081337.441|INFO|qtp135640095-25|setClientServerAndPort|INIFile File location: file:/C:/Users/18328/Desktop/pc2/WebTeamInterface-1.1/pc2v9.ini
230921 081337.441|INFO|qtp135640095-25|setClientServerAndPort|setClientServerAndPort localhost parsed as localhost port 50002
230921 081337.441|INFO|qtp135640095-25|info|Contacting server at localhost:50002
230921 081337.441|INFO|qtp135640095-25|connectToMyServer|Connecting to localhost:50002
